key,intel,amd,note
entry,Intel Core Ultra 5 245K,AMD Ryzen 5 9600X,
standard,Intel Core Ultra 7 265K,AMD Ryzen 7 9700X,
top,Intel Core Ultra 9 285K,AMD Ryzen 9 9950X,
x3d,Intel Core Ultra 7 265K,AMD Ryzen 7 9800X3D,
x3d_top,Intel Core Ultra 9 285K,AMD Ryzen 7 9800X3D,
mixed,Intel Core Ultra 7 265K,AMD Ryzen 9 9950X,
mixed_x3d,Intel Core Ultra 7 265K,AMD Ryzen 9 9950X3D,
top_x3d,Intel Core Ultra 9 285K,AMD Ryzen 9 9950X3D2,
render12,,AMD Ryzen 9 9900X,
render16,,AMD Ryzen 9 9950X,
render_max,,AMD Ryzen 9 9950X or AMD Threadripper PRO,
