# beds — market seed, snapshot 2026-07 · one row per real SKU · see README.md
class,size,state,retailer,tier,model,w_in,d_in,url,note
bed-frame,twin,,IKEA,mass,MALM bed frame high (Twin),44.5,79.13,https://www.ikea.com/us/en/p/malm-bed-frame-white-40249490/,platform; 44.5w x 79.13L per IKEA measurements
bed-frame,full,,IKEA,mass,SLATTUM upholstered bed frame (Full),54.75,77.13,https://www.ikea.com/us/en/p/slattum-upholstered-bed-frame-vissle-dark-gray-40571253/,upholstered; no king made in this model
bed-frame,full,,IKEA,mass,NEIDEN bed frame pine (Full),54.75,76.75,https://www.ikea.com/us/en/p/neiden-bed-frame-pine-80395248/,"minimal solid pine, low headboard"
bed-frame,full,,IKEA,mass,ASKVOLL bed frame (Full),55.5,78,https://www.ikea.com/us/en/p/askvoll-bed-frame-white-s49019705/,"low platform, minimal headboard"
bed-frame,full,,Burrow,mid,Chorus Bed (Full),57,79,https://burrow.com/products/chorus-bed,wood platform
bed-frame,queen,,Zinus,mass,Suzanne 14in Metal & Wood Platforma (Queen),59.6,79.5,https://www.homedepot.com/p/Zinus-GOOD-DESIGN-Winner-Suzanne-Brown-Queen-14-in-Metal-and-Wood-Platforma-Bed-Frame-IRPF-14Q/313936732,"metal/bamboo platform, no headboard; frame ~ mattress footprint (small outlier)"
bed-frame,queen,,IKEA,mass,VEVELSTAD bed frame (Queen),60.25,81.89,https://www.ikea.com/us/en/p/vevelstad-bed-frame-white-50506436/,"slatted low platform, headboard sold separately; sources vary L 79.5-81.9 - flagged"
bed-frame,queen,,IKEA,mass,SLATTUM upholstered bed frame (Queen),61.38,81.88,https://www.ikea.com/us/en/p/slattum-upholstered-bed-frame-vissle-dark-gray-70571256/,upholstered
bed-frame,queen,,West Elm,mid,Simple Bed Frame (Queen),62,83,https://www.westelm.com/products/simple-bed-frame-h8586/,low wood platform
bed-frame,queen,,Article,mid,Nera Low Profile Bed Walnut (Queen),62,82,https://www.article.com/product/31362/nera-queen-low-profile-bed-walnut,"low-profile platform, chevron headboard; validated vs king (W delta = mattress delta)"
bed-frame,queen,,IKEA,mass,BRIMNES bed frame with storage (Queen),62.25,82,https://www.ikea.com/us/en/p/brimnes-bed-frame-with-storage-white-s69902945/,"storage, 4 drawers"
bed-frame,queen,,IKEA,mass,IDANAS bed frame (Queen),62.62,88.25,https://www.ikea.com/us/en/p/idanaes-bed-frame-white-30458912/,"panel bed, tall 47in headboard + footboard; L 88.25 long - flagged (corroborated across two reads)"
bed-frame,queen,,Ashley,mass,Piperton Queen Platform Bed EB1221-113,62.64,81.5,https://www.ashleyfurniture.com/p/piperton_queen_platform_bed/EB1221-113.html,low panel platform
bed-frame,queen,,IKEA,mass,NORDLI bed frame with storage (Queen),63,79.53,https://www.ikea.com/us/en/p/nordli-bed-frame-with-storage-white-00349849/,"storage platform, no attached headboard - flush; L~79.5 ~ mattress footprint (short outlier)"
