# dining tables — market seed, snapshot 2026-07 · one row per real SKU · see README.md
class,size,state,retailer,tier,model,w_in,d_in,url,note
dining-rect,,fixed,Room & Board,upper,Parsons Dining Table 48x30,48,30,https://www.roomandboard.com/catalog/dining-and-kitchen/tables/parsons-tables,standard offered size
dining-rect,,fixed,IKEA,mass,"MELLTORP table, white",49.25,29.5,https://www.ikea.com/us/en/p/melltorp-table-white-s19011777/,125x75cm; seats 4
dining-rect,,fixed,IKEA,mass,"MORBYLANGA table (small), oak veneer",55.12,33.46,https://www.ikea.com/us/en/p/moerbylanga-table-oak-veneer-brown-stained-50386245/,140x85cm; converted cm/2.54
dining-rect,,fixed,IKEA,mass,"LISABO table, ash veneer",55.13,30.75,https://www.ikea.com/us/en/p/lisabo-table-ash-veneer-70294339/,"140x78cm; ash veneer top, solid birch legs"
dining-rect,,fixed,Room & Board,upper,Parsons Dining Table 60x36,60,36,https://www.roomandboard.com/catalog/dining-and-kitchen/tables/parsons-tables,standard offered size
dining-rect,,fixed,CB2,mid,Blox 63in Rectangular Wood Dining Table,63,35,https://www.cb2.com/blox-63-rectangular-brown-wood-dining-table/s123863,solid mango
dining-rect,,fixed,Crate & Barrel,mid,Basque 65in Solid Wood Dining Table,65,38,https://www.crateandbarrel.com/basque-65-weathered-light-brown-solid-wood-dining-table/s599723,solid mango
dining-rect,,fixed,Article,mid,"Seno Walnut Dining Table, 71in",71,37.5,https://www.article.com/product/27599/seno-71-dining-table-walnut,walnut; seats 6
dining-rect,,fixed,Article,mid,"Madera Solid Wood Dining Table, 71in (oak)",71,39,https://www.article.com/product/15102/madera-71-solid-wood-dining-table-oak,solid oak
dining-rect,,fixed,Target,mass,Threshold w/ Studio McGee Linden 72in Rectangular Wood Dining Table,72,36,https://whalenfurniture.com/product/72in-linden-natural-rectangular-wood-dining-table/,"Whalen-made, sold at Target as Threshold/Studio McGee; dims from Whalen product page"
dining-rect,,fixed,West Elm,mid,"Anton Solid Wood Dining Table, 72in",72,39,https://www.westelm.com/products/anton-solid-wood-dining-table-h4231/,mango wood; depth 39in per listing (some sources cite 38in)
dining-rect,,fixed,CB2,mid,Sydney 72in Rectangular Walnut Dining Table,72,39,https://www.cb2.com/sydney-72-rectangular-walnut-dining-table/s475679,American black walnut
dining-rect,,fixed,Room & Board,upper,Parsons Dining Table 72x36,72,36,https://www.roomandboard.com/catalog/dining-and-kitchen/tables/parsons-tables,standard offered size
dining-rect,,fixed,RH,upper,"Reclaimed Russian Oak Parsons Rectangular Dining Table, 72in",72,39,https://rh.com/us/en/catalog/product/product.jsp/prod2510648,offered 60-138in
dining-rect,,fixed,Room & Board,upper,Parsons Dining Table 80x40,80,40,https://www.roomandboard.com/catalog/dining-and-kitchen/tables/parsons-tables,standard offered size
dining-rect,,fixed,Crate & Barrel,mid,Basque 82in Solid Wood Dining Table,82,38,https://www.crateandbarrel.com/basque-82-weathered-light-brown-solid-wood-dining-table/s599732,solid mango
dining-rect,,fixed,West Elm,mid,"Anton Solid Wood Dining Table, 86in",86,39,https://www.westelm.com/products/anton-solid-wood-dining-table-h4231/,mango wood
dining-rect,,fixed,Arhaus,upper,Kensington Dining Table,86,39,https://www.arhaus.com/products/kensington-dining-table,size from search summary; exact per-SKU width not verified (page blocked); collection spans ~60-118in length
dining-rect,,fixed,Article,mid,"Seno Walnut Dining Table, 86.5in",86.5,37.5,https://www.article.com/product/27601/seno-86-5-dining-table-walnut,walnut; seats 8
dining-rect,,fixed,Castlery,mid,Sawyer Rectangular Dining Table (oak veneer),86.6,39.4,https://www.castlery.com/us/products/sawyer-rectangular-dining-table,220x100cm
