# sofas — market seed, snapshot 2026-07 · one row per real SKU · see README.md
class,size,state,retailer,tier,model,w_in,d_in,url,note
loveseat,,,IKEA,mass,GLOSTAD 2-seat sofa,47.64,30.71,https://www.ikea.com/us/en/p/glostad-sofa-knisa-dark-gray-40595942/,"121x78cm; compact 2-seat, width 47.6in just under typical loveseat range"
loveseat,,,Target,mass,Threshold Tufted Loveseat,53,32.5,https://www.aptdeco.com/product/target-threshold-grey-tufted-loveseat,compact tufted loveseat; spec via AptDeco aggregator
loveseat,,,West Elm,mid,"Andes Loveseat 60""",60,40,https://www.westelm.com/products/andes-sofa-h1844/,60in size of Andes line; standard 40in depth (35in poly option exists)
loveseat,,,Burrow,mid,Nomad Loveseat,61,36,https://www.dimensions.com/element/burrow-nomad-loveseat,dimensions.com element
loveseat,,,Ashley,mass,Darcy Loveseat,64,37,https://www.ashleyfurniture.com/p/darcy_loveseat/7500535.html,official Ashley 64x37
loveseat,,,IKEA,mass,PARUP loveseat (2-seat),64.96,31.5,https://www.ikea.com/us/en/p/paerup-loveseat-vissle-gray-s19389166/,165x80cm; shallow depth
loveseat,,,IKEA,mass,VIMLE 2-seat sofa,67.32,38.58,https://www.ikea.com/gb/en/p/vimle-2-seat-sofa-gunnared-beige-s79398974/,171x98cm
loveseat,,,IKEA,mass,FINNALA loveseat (2-seat),67.32,38.58,https://www.ikea.com/us/en/p/finnala-loveseat-gunnared-beige-s79319019/,171x98cm
loveseat,,,CB2,mid,Gybson Loveseat,70,42,https://www.aptdeco.com/product/cb2-gybson-loveseat,deep loveseat (42in); spec via AptDeco aggregator
loveseat,,,IKEA,mass,KLIPPAN loveseat,70.87,34.65,https://www.ikea.com/us/en/p/klippan-loveseat-vissle-gray-s09010617/,180x88cm; dimensions.com confirms 70.875x34.625
loveseat,,,Room & Board,upper,"Jasper 71"" Loveseat",71,36,https://www.roomandboard.com/catalog/living/sofas-and-loveseats/jasper-sofas,71in loveseat size (60in size also offered)
loveseat,,,IKEA,mass,UPPLAND loveseat (2-seat),71.65,36.22,https://www.ikea.com/us/en/p/uppland-loveseat-blekinge-white-s69384114/,182x92cm
loveseat,,,Article,mid,"Sven 72"" Loveseat",72,38,https://www.article.com/product/27057/sven-72-tufted-loveseat-stone-gray,
loveseat,,,Castlery,mid,Adams Loveseat,72,35.4,https://www.castlery.com/us/products/adams-loveseat,
loveseat,,,IKEA,mass,KIVIK loveseat (2-seat),74.8,37.4,https://www.ikea.com/us/en/p/kivik-loveseat-gunnared-beige-s69499681/,190x95cm
sofa-3,,,West Elm,mid,"Andes Sofa 76""",76,40,https://www.westelm.com/products/andes-sofa-h1844/,"76in size of Andes line (offered 60-96in), standard 40in depth"
sofa-3,,,IKEA,mass,SODERHAMN 3-seat sofa,77.95,38.98,https://www.ikea.com/nl/en/p/soderhamn-3-seat-sofa-gunnared-beige-s79305423/,198x99cm; intl IKEA page (US currently lists sectional configs)
sofa-3,,,IKEA,mass,VINLIDEN 3-seat sofa,79.92,38.19,https://www.ikea.com/gb/en/p/vinliden-3-seat-sofa-hakebo-beige-s89304649/,203x97cm
sofa-3,,,Castlery,mid,Owen 3-Seater Sofa,79.92,38.98,https://www.castlery.com/us/products/owen-3-seater-sofa,203x99cm
sofa-3,,,Castlery,mid,Hamilton 3-Seater Sofa,80.12,39.37,https://www.castlery.com/us/products/hamilton-3-seater-sofa,203.5x100cm
sofa-3,,,IKEA,mass,LANDSKRONA 3-seat sofa,80.31,35.04,https://www.ikea.com/in/en/p/landskrona-3-seat-sofa-gunnared-dark-grey-wood-s39270312/,204x89cm
sofa-3,,,IKEA,mass,SMEDSTORP 3-seat sofa,80.71,37.01,https://www.ikea.com/se/en/p/smedstorp-3-seat-sofa-viarp-beige-brown-black-s59418609/,205x94cm
sofa-3,,,IKEA,mass,BACKSALEN 3-seat sofa,80.71,37.01,https://www.ikea.com/gb/en/p/backsaelen-3-seat-sofa-katorp-natural-s79393165/,205x94cm
sofa-3,,,West Elm,mid,"Hamilton Sofa 81""",81,35.8,https://www.westelm.com/products/hamilton-upholstered-sofa-h1469/,81in size (offered 70-91in)
sofa-3,,,IKEA,mass,PARUP 3-seat sofa,81.1,31.5,https://www.ikea.com/sg/en/p/paerup-3-seat-sofa-vissle-grey-s79389470/,"206x80cm; shallow depth (31.5in), low end of range"
sofa-3,,,West Elm,mid,"Harmony Sofa 82""",82,41,https://www.westelm.com/products/harmony-sofa-h2479/,82in size (offered 66-104in)
sofa-3,,,West Elm,mid,"Haven Sofa 82""",82,39,https://www.westelm.com/products/haven-sofa-84-h3421/,82in size (offered 60-108in)
sofa-3,,,CB2,mid,"Piazza Sofa 82""",82,44,https://www.aptdeco.com/product/cb2-piazza-sofa-82,deep-seat sofa (44in depth); spec via AptDeco aggregator
sofa-3,,,Wayfair,mass,"Somerville 82"" Sofa",82,37,https://www.aptdeco.com/product/wayfair-sand-stable-gray-somerville-sofa,Wayfair house brand; spec via AptDeco aggregator
sofa-3,,,Article,mid,"Ceni 83"" Sofa",83,35,https://www.article.com/product/25356/ceni-83-sofa-quarry-gray,
