profile	scale	tier	cpu	cpuNote	gpu	gpuNote	ram	ramNote	storage	price
review	small	cheapest	ultra5_245k	Minimum spend that still feels fast for office work	rtx4060	Only here to drive displays cleanly	16 GB DDR5		1 TB NVMe	$900--$1,100
review	small	value	ultra5_245k	More than enough for documents	rtx4060		32 GB DDR5		1 TB NVMe	$1,100--$1,400
review	small	best	ultra7_265k	Headroom for the future	rtx4060		64 GB DDR5		2 TB NVMe	$1,500--$1,800
review	large	cheapest	ultra5_245k	Enough for large document sets if budget is tight	rtx4060		32 GB DDR5	Lets drawings, PDFs, and browser tabs coexist	1 TB NVMe	$1,100--$1,400
review	large	value	ultra7_265k	Headroom for larger document sets	rtx4060		64 GB DDR5	Larger reference sets open simultaneously	2 TB NVMe	$1,500--$1,800
review	large	best	ultra7_265k	Same chip -- documents are not demanding	rtx4060		64 GB DDR5		2 TB NVMe	$1,500--$1,800
drafting	small	cheapest	ultra5_245k	Cheapest CPU I would still buy for CAD	rtx4060	AutoCAD viewport is not demanding	32 GB DDR5		1 TB NVMe	$1,100--$1,400
drafting	small	value	ultra7_265k	Best value for single-thread CAD	rtx4060	AutoCAD viewport is not demanding	32 GB DDR5		1 TB NVMe	$1,300--$1,600
drafting	small	best	ultra9_285k	Top single-thread	rtx5070	Comfortable headroom	64 GB DDR5		2 TB NVMe	$2,200--$2,600
drafting	large	cheapest	ultra7_265k	Acceptable for larger xrefs if budget is tight	rtx4060	Still enough for complex 2D work	32 GB DDR5	Manageable if you avoid keeping everything open	1 TB NVMe	$1,400--$1,700
drafting	large	value	ultra7_265k	Best value for single-thread CAD	rtx4060	AutoCAD viewport is not demanding	64 GB DDR5	Large drawing sets with xrefs	2 TB NVMe	$1,600--$1,900
drafting	large	best	ultra9_285k	Faster regen on complex drawings	rtx5070	Comfortable headroom	64 GB DDR5		2 TB NVMe	$2,400--$2,800
modeling	small	cheapest	ultra7_265k	The floor for a modeling desktop that still feels good	rtx4060	Enough for modeling, light for viz	32 GB DDR5		1 TB NVMe	$1,600--$1,900
modeling	small	value	ultra7_265k	Best value for Revit -- 90-95% of the 285K	rtx5070	Transparent for modeling, ready for occasional Enscape	64 GB DDR5		2 TB NVMe	$1,900--$2,300
modeling	small	best	ultra9_285k	Top single-thread -- view regen, family loading	rtx5070ti	Ready for viz if your role expands -- 16 GB VRAM	64 GB DDR5		2 TB NVMe	$2,600--$3,100
modeling	large	cheapest	ultra7_265k	Tight-budget choice for large linked models	rtx5070	Enough for modeling, still not a viz-first build	64 GB DDR5	The minimum I would buy for large-model work	2 TB NVMe	$2,100--$2,500
modeling	large	value	ultra9_285k	Large models with linked consultants need top single-thread	rtx5070	Transparent for modeling	128 GB DDR5	Multiple linked models open simultaneously	2 TB NVMe	$2,600--$3,100
modeling	large	best	ultra9_285k	Top single-thread for complex view regeneration	rtx5070ti	Headroom for Enscape walkthroughs of large models	128 GB DDR5	500MB+ models with full consultant links	4 TB NVMe	$3,100--$3,700
